1	0	0	1	12	1032	74.56125	95.09340	78.40844	1.36032	1.43051	71.77912	77.11417	75.44555	81.05967
1	0	0	1	13	1032	73.47564	94.48780	77.76204	1.37933	1.45980	70.65961	76.06866	74.74127	80.46984
1	0	0	1	14	1032	72.38931	93.83628	77.14427	1.39729	1.48907	69.54144	75.02038	74.06540	79.90838
1	0	0	1	15	1032	71.40174	93.13499	76.66478	1.41269	1.51682	68.52672	74.06562	73.52989	79.48146
1	0	0	1	16	1032	70.41348	92.38647	76.21622	1.42729	1.54491	67.51291	73.10861	73.02435	79.08585
1	0	0	1	17	1032	69.71975	91.58181	76.12838	1.43711	1.56921	66.80207	72.43599	72.88447	79.04138
1	0	0	1	18	1032	68.52711	90.71901	75.53776	1.45318	1.60185	65.58159	71.27805	72.22838	78.51292
1	0	0	1	19	1032	66.93577	89.79441	74.54335	1.47289	1.64029	63.95652	69.72964	71.15970	77.59420
1	0	0	1	20	1032	65.34206	88.80707	73.57754	1.49073	1.67862	62.33274	68.17527	70.11959	76.70367
1	0	0	1	21	1032	63.74592	87.75137	72.64378	1.50678	1.71710	60.71008	66.61499	69.11098	75.84522
1	0	0	1	22	1032	62.94659	86.62175	72.64378	1.51415	1.71710	59.89877	65.83234	69.11098	75.84522
1	0	0	1	23	1032	61.94426	85.41194	72.52412	1.52286	1.78296	58.88246	64.84986	68.85023	75.84291
1	0	0	1	24	1032	60.93622	84.11666	72.44251	1.53108	1.82018	57.86141	63.86074	68.68886	75.82758
1	0	0	1	25	1032	59.61703	82.72038	72.07055	1.54103	1.86293	56.52677	62.56474	68.22796	75.53410
1	0	0	1	26	1032	58.29108	81.22952	71.76095	1.55001	1.90819	55.18728	61.26011	67.82342	75.30684
1	0	0	1	27	1032	56.96046	79.63980	71.52260	1.55794	1.95624	53.84522	59.94881	67.48334	75.15508
1	0	0	1	28	1032	55.31391	77.97579	70.93728	1.56635	2.00876	52.18730	58.32343	66.79030	74.66743
1	0	0	1	29	1032	54.69299	76.19816	70.93728	1.56914	2.00876	51.56282	57.70976	66.79030	74.66743
